城市	区县	border	高中及以下	大专	本科及以上	2499及以下	2500~3999	4000~7999	8000~19999	20000及以上
孝感市	云梦县	113.83568572998047,30.966829299926758,113.83567810058594,30.97456932067871,113.8447036743164,30.974430084228516,113.84471130371094,30.966691970825195,113.83568572998047,30.966829299926758	9	1	2	9	1	2	0	0
安阳市	林州市	113.91655731201172,36.01401901245117,113.91654968261719,36.02131652832031,113.92549133300781,36.02145004272461,113.92549896240234,36.01415252685547,113.91655731201172,36.01401901245117	6	0	0	5	0	0	0	0
定西市	通渭县	105.62528228759766,35.22905349731445,105.62528228759766,35.236427307128906,105.63421630859375,35.236572265625,105.63421630859375,35.22920227050781,105.62528228759766,35.22905349731445	1	0	0	0	0	1	0	0
宜宾市	长宁县	104.82565307617188,28.576913833618164,104.82565307617188,28.584842681884766,104.83465576171875,28.584766387939453,104.83466339111328,28.576839447021484,104.82565307617188,28.576913833618164	65	10	1	56	6	3	0	0
百色市	田东县	107.17933654785156,23.565004348754883,107.1793441772461,23.573287963867188,107.18829345703125,23.573429107666016,107.18828582763672,23.565147399902344,107.17933654785156,23.565004348754883	227	81	13	201	56	32	4	1
衡阳市	衡南县	113.05430603027344,26.841581344604492,113.05431365966797,26.849639892578125,113.06326293945312,26.84977149963379,113.06326293945312,26.841712951660156,113.05430603027344,26.841581344604492	13	3	0	11	2	2	0	0
达州市	宣汉县	107.93379211425781,31.453311920166016,107.93378448486328,31.461009979248047,107.94276428222656,31.461023330688477,107.94276428222656,31.453323364257812,107.93379211425781,31.453311920166016	12	1	0	9	1	2	0	0
南宁市	宾阳县	108.9310302734375,23.01749610900879,108.93102264404297,23.02581024169922,108.9400405883789,23.025665283203125,108.94004821777344,23.017351150512695,108.9310302734375,23.01749610900879	1	0	0	0	1	0	0	0
东营市	广饶县	118.71354675292969,37.30934524536133,118.71353912353516,37.3165168762207,118.72247314453125,37.31666946411133,118.72248077392578,37.30949783325195,118.71354675292969,37.30934524536133	15	3	0	7	4	4	1	0
临汾市	浮山县	112.12890625,35.85347366333008,112.12890625,35.86078643798828,112.13787078857422,35.86083984375,112.13787078857422,35.8535270690918,112.12890625,35.85347366333008	13	2	0	12	0	1	0	0
临沂市	蒙阴县	117.98596954345703,35.60408401489258,117.98596954345703,35.611419677734375,117.99490356445312,35.6115837097168,117.99490356445312,35.604248046875,117.98596954345703,35.60408401489258	57	17	4	33	9	17	3	0
丽江市	玉龙纳西族自治县	100.11859130859375,26.817779541015625,100.11859893798828,26.825841903686523,100.12755584716797,26.825950622558594,100.12754821777344,26.817888259887695,100.11859130859375,26.817779541015625	48	25	3	40	19	2	0	0
保定市	涞源县	114.79686737060547,39.179527282714844,114.796875,39.186519622802734,114.805908203125,39.18637466430664,114.80590057373047,39.17938232421875,114.79686737060547,39.179527282714844	50	12	0	43	6	9	0	0
宣城市	绩溪县	118.75840759277344,30.283164978027344,118.75840759277344,30.29096221923828,118.7674331665039,30.290807723999023,118.76742553710938,30.283010482788086,118.75840759277344,30.283164978027344	6	0	0	5	0	0	0	0
普洱市	西盟佤族自治县	99.65143585205078,22.584686279296875,99.65143585205078,22.593027114868164,99.66040802001953,22.59305763244629,99.66040802001953,22.584714889526367,99.65143585205078,22.584686279296875	22	4	3	21	3	0	1	2
清远市	清新区	113.00933074951172,23.730703353881836,113.00933074951172,23.738971710205078,113.01834869384766,23.73881721496582,113.01834869384766,23.730548858642578,113.00933074951172,23.730703353881836	26698	6420	1214	15609	6814	6841	760	454
湛江市	吴川市	110.76360321044922,21.495365142822266,110.76359558105469,21.50377082824707,110.77256774902344,21.503835678100586,110.77257537841797,21.49542808532715,110.76360321044922,21.495365142822266	277	87	10	173	89	74	3	8
荆州市	洪湖市	113.93450164794922,30.080387115478516,113.93450164794922,30.088199615478516,113.9434814453125,30.088207244873047,113.9434814453125,30.080394744873047,113.93450164794922,30.080387115478516	24	9	0	19	5	1	0	3
菏泽市	单县	115.83892059326172,34.689430236816406,115.83891296386719,34.69684982299805,115.84786224365234,34.69697189331055,115.84786987304688,34.689552307128906,115.83892059326172,34.689430236816406	43	5	0	29	11	4	0	0
赤峰市	敖汉旗	120.38446044921875,42.22052764892578,120.38445281982422,42.22719955444336,120.39337921142578,42.22736740112305,120.39337921142578,42.22069549560547,120.38446044921875,42.22052764892578	25	5	1	10	2	10	1	0
重庆市	江津区	106.27197265625,29.13836097717285,106.27196502685547,29.1462459564209,106.2809829711914,29.146133422851562,106.2809829711914,29.138248443603516,106.27197265625,29.13836097717285	68	37	16	73	14	13	1	5
黄冈市	罗田县	115.26397705078125,30.959197998046875,115.26396942138672,30.966936111450195,115.27296447753906,30.966867446899414,115.2729721069336,30.95912742614746,115.26397705078125,30.959197998046875	3	2	0	1	0	2	0	0
黄南藏族自治州	泽库县	101.71754455566406,35.05221939086914,101.71753692626953,35.05960464477539,101.7265625,35.05947494506836,101.72657012939453,35.05208969116211,101.71754455566406,35.05221939086914	1	0	0	1	0	0	0	0
临汾市	襄汾县	111.53597259521484,35.89737319946289,111.53597259521484,35.90468215942383,111.54495239257812,35.90467834472656,111.54496002197266,35.897369384765625,111.53597259521484,35.89737319946289	0	0	1	0	0	1	0	0
南充市	阆中市	106.25398254394531,31.76082992553711,106.25399017333984,31.768505096435547,106.26296997070312,31.768516540527344,106.2629623413086,31.760841369628906,106.25398254394531,31.76082992553711	5	2	0	3	1	0	2	0
南昌市	南昌县	116.12640380859375,28.576677322387695,116.12640380859375,28.584606170654297,116.13542175292969,28.584444046020508,116.13542938232422,28.576515197753906,116.12640380859375,28.576677322387695	49	19	3	41	14	8	2	1
台州市	仙居县	120.82462310791016,28.695241928100586,120.82461547851562,28.703161239624023,120.8336181640625,28.70306968688965,120.83362579345703,28.69515037536621,120.82462310791016,28.695241928100586	98	26	10	14	33	71	3	1
扬州市	宝应县	119.49512481689453,33.078521728515625,119.49512481689453,33.086082458496094,119.504150390625,33.0859375,119.504150390625,33.078372955322266,119.49512481689453,33.078521728515625	33	8	7	20	8	8	3	1
泰安市	新泰市	117.33921813964844,35.97725296020508,117.3392105102539,35.98455047607422,117.34823608398438,35.98442840576172,117.34823608398438,35.97712707519531,117.33921813964844,35.97725296020508	180	29	5	128	16	34	3	0
通辽市	科尔沁左翼中旗	123.49264526367188,43.678497314453125,123.49263763427734,43.68501281738281,123.50157928466797,43.685150146484375,123.50157928466797,43.67863082885742,123.49264526367188,43.678497314453125	21	3	0	10	4	4	0	0
铜仁市	江口县	108.86811828613281,27.88442039489746,108.86812591552734,27.892404556274414,108.8770751953125,27.892555236816406,108.87706756591797,27.884571075439453,108.86811828613281,27.88442039489746	8	1	0	5	1	1	0	0
龙岩市	永定区	116.86310577392578,24.431493759155273,116.86311340332031,24.43971824645996,116.87211608886719,24.439619064331055,116.87210845947266,24.431394577026367,116.86310577392578,24.431493759155273	2	0	0	2	0	0	0	0
大庆市	红岗区	124.98358917236328,46.565345764160156,124.98358154296875,46.571537017822266,124.99259185791016,46.57146453857422,124.99259948730469,46.56527328491211,124.98358917236328,46.565345764160156	59	16	1	12	41	14	0	0
岳阳市	汨罗市	113.09010314941406,28.632408142089844,113.09010314941406,28.640335083007812,113.09907531738281,28.640378952026367,113.09907531738281,28.6324520111084,113.09010314941406,28.632408142089844	57	11	0	50	7	4	0	4
武汉市	汉阳区	114.15911865234375,30.578933715820312,114.15911865234375,30.58670425415039,114.1680679321289,30.586824417114258,114.16807556152344,30.57905387878418,114.15911865234375,30.578933715820312	1430	668	111	1323	292	266	85	62
沈阳市	新民市	123.0702133178711,42.13407897949219,123.0702133178711,42.14076232910156,123.07923889160156,42.14064407348633,123.07923889160156,42.13395690917969,123.0702133178711,42.13407897949219	110	21	7	103	5	5	1	0
焦作市	马村区	113.34156799316406,35.325225830078125,113.3415756225586,35.33258819580078,113.35057830810547,35.33253860473633,113.35057067871094,35.32517623901367,113.34156799316406,35.325225830078125	10	0	1	11	0	0	0	0
百色市	靖西市	106.36180877685547,22.976112365722656,106.36181640625,22.984432220458984,106.37078094482422,22.984529495239258,106.37077331542969,22.97620964050293,106.36180877685547,22.976112365722656	1	0	0	1	0	0	0	0
绵阳市	三台县	105.09525299072266,31.005207061767578,105.09526062011719,31.0129451751709,105.10428619384766,31.0128173828125,105.10427856445312,31.00507926940918,105.09525299072266,31.005207061767578	44	13	2	29	10	8	0	1
遵义市	凤冈县	107.81703186035156,27.541006088256836,107.8170394897461,27.549015045166016,107.8260269165039,27.54900360107422,107.82601928710938,27.54099464416504,107.81703186035156,27.541006088256836	1	0	0	1	0	0	0	0
黔西南布依族苗族自治州	册亨县	105.49954223632812,24.93222999572754,105.4995346069336,24.940420150756836,105.50849151611328,24.940561294555664,105.50849151611328,24.932371139526367,105.49954223632812,24.93222999572754	2	0	0	1	0	0	0	0
临沧市	凤庆县	99.885009765625,24.48948097229004,99.88500213623047,24.497699737548828,99.89396667480469,24.497772216796875,99.89397430419922,24.489553451538086,99.885009765625,24.48948097229004	2	1	0	2	0	1	0	0
南宁市	横县	109.1196060180664,22.93448829650879,109.11959838867188,22.942806243896484,109.1285629272461,22.94291877746582,109.1285629272461,22.934600830078125,109.1196060180664,22.93448829650879	142	22	7	101	35	3	2	3
娄底市	涟源市	111.87740325927734,27.868614196777344,111.87740325927734,27.876596450805664,111.8863525390625,27.876724243164062,111.8863525390625,27.86874008178711,111.87740325927734,27.868614196777344	39	7	0	38	5	2	0	0
常德市	澧县	111.44624328613281,29.884611129760742,111.44623565673828,29.892436981201172,111.45526123046875,29.892282485961914,111.45526885986328,29.884456634521484,111.44624328613281,29.884611129760742	22	7	2	22	1	3	0	2
成都市	简阳市	104.39466857910156,30.22028160095215,104.39466094970703,30.22808074951172,104.40364837646484,30.228073120117188,104.40365600585938,30.220273971557617,104.39466857910156,30.22028160095215	57	15	6	49	10	6	3	1
承德市	隆化县	116.93479919433594,41.63066101074219,116.9347915649414,41.63739776611328,116.94377136230469,41.63740158081055,116.94377899169922,41.63066482543945,116.93479919433594,41.63066101074219	3	0	0	1	2	0	0	0
昆明市	宜良县	103.26262664794922,25.080049514770508,103.26261901855469,25.088228225708008,103.27161407470703,25.08817481994629,103.27162170410156,25.07999610900879,103.26262664794922,25.080049514770508	8	2	0	4	4	0	0	0
眉山市	仁寿县	104.36762237548828,30.080097198486328,104.36762237548828,30.08791160583496,104.37664794921875,30.087766647338867,104.37664794921875,30.079952239990234,104.36762237548828,30.080097198486328	38	12	0	28	3	6	0	0
辽源市	东辽县	125.04674530029297,42.79184341430664,125.04674530029297,42.798458099365234,125.05569458007812,42.79855728149414,125.05569458007812,42.79193878173828,125.04674530029297,42.79184341430664	61	15	0	56	9	1	0	0
驻马店市	新蔡县	115.05751037597656,32.72991180419922,115.05751037597656,32.73750305175781,115.0665283203125,32.73737335205078,115.0665283203125,32.72978210449219,115.05751037597656,32.72991180419922	93	9	0	79	5	6	1	0
阿坝藏族羌族自治州	汶川县	103.39738464355469,31.20644760131836,103.39737701416016,31.21416664123535,103.40640258789062,31.214033126831055,103.40641021728516,31.206315994262695,103.39738464355469,31.20644760131836	14	5	0	1	1	14	0	0
十堰市	郧阳区	110.943115234375,33.05624771118164,110.94312286376953,33.063812255859375,110.95211791992188,33.063751220703125,110.95211029052734,33.05618667602539,110.943115234375,33.05624771118164	0	1	0	1	0	0	0	0
孝感市	大悟县	114.32984161376953,31.637645721435547,114.32984161376953,31.64533233642578,114.3388671875,31.64517593383789,114.3388671875,31.63749122619629,114.32984161376953,31.637645721435547	1	0	0	0	0	1	0	0
张掖市	民乐县	100.76536560058594,38.6741828918457,100.76536560058594,38.68122482299805,100.77440643310547,38.68108367919922,100.77440643310547,38.674041748046875,100.76536560058594,38.6741828918457	21	4	6	15	6	7	0	0
白城市	洮南市	122.71092224121094,45.337318420410156,122.7109146118164,45.343650817871094,122.7199478149414,45.34352493286133,122.7199478149414,45.33719253540039,122.71092224121094,45.337318420410156	71	13	0	37	22	15	2	0
芜湖市	无为县	117.5817642211914,31.051513671875,117.5817642211914,31.059246063232422,117.59077453613281,31.05913734436035,117.59077453613281,31.051403045654297,117.5817642211914,31.051513671875	15	5	0	13	5	0	0	0
齐齐哈尔市	龙江县	122.79183959960938,46.935447692871094,122.79183197021484,46.94160079956055,122.80075073242188,46.9417610168457,122.8007583618164,46.935611724853516,122.79183959960938,46.935447692871094	21	2	0	15	2	3	0	0
保山市	施甸县	99.09455871582031,24.628868103027344,99.09456634521484,24.6370792388916,99.10357666015625,24.6369571685791,99.10357666015625,24.62874412536621,99.09455871582031,24.628868103027344	1	0	0	1	0	0	0	0
大庆市	大同区	124.66041564941406,46.02935791015625,124.6604232788086,46.035614013671875,124.66944885253906,46.035491943359375,124.66944885253906,46.029232025146484,124.66041564941406,46.02935791015625	8	0	0	0	4	4	0	0
庆阳市	宁县	107.93376922607422,35.54574203491211,107.93376922607422,35.55308532714844,107.9427490234375,35.553096771240234,107.9427490234375,35.54575729370117,107.93376922607422,35.54574203491211	10	2	0	4	3	3	0	0
开封市	杞县	114.87773895263672,34.45163345336914,114.87773132324219,34.45907211303711,114.88668060302734,34.45920181274414,114.88668060302734,34.451759338378906,114.87773895263672,34.45163345336914	19	3	2	19	2	1	0	0
永州市	祁阳县	112.05712127685547,26.438066482543945,112.05712890625,26.44615364074707,112.0661392211914,26.446025848388672,112.0661392211914,26.437936782836914,112.05712127685547,26.438066482543945	8	0	0	6	2	0	0	0
沈阳市	铁西区	123.24115753173828,41.737693786621094,123.24115753173828,41.74441909790039,123.2501220703125,41.744468688964844,123.2501220703125,41.73774337768555,123.24115753173828,41.737693786621094	4572	1948	1201	4396	593	793	370	191
泸州市	合江县	106.07447052001953,28.845569610595703,106.07447814941406,28.85348129272461,106.08345794677734,28.853471755981445,106.08345031738281,28.845561981201172,106.07447052001953,28.845569610595703	8	1	0	8	0	0	0	0
淄博市	沂源县	118.04882049560547,36.10145950317383,118.04881286621094,36.10874938964844,118.05784606933594,36.108585357666016,118.05785369873047,36.10129928588867,118.04882049560547,36.10145950317383	5	0	0	3	0	0	0	0
许昌市	鄢陵县	114.28484344482422,34.146087646484375,114.28485107421875,34.15355682373047,114.29380798339844,34.15364074707031,114.2938003540039,34.14617156982422,114.28484344482422,34.146087646484375	50	9	2	40	6	4	0	0
通化市	集安市	125.8911361694336,40.89802932739258,125.8911361694336,40.904842376708984,125.90007781982422,40.90496826171875,125.90007781982422,40.898155212402344,125.8911361694336,40.89802932739258	2	0	0	0	2	0	0	0
重庆市	黔江区	108.66140747070312,29.783052444458008,108.66140747070312,29.7908878326416,108.67040252685547,29.79084014892578,108.67041015625,29.783004760742188,108.66140747070312,29.783052444458008	25	11	0	31	2	0	0	0
长治市	长子县	112.57820892333984,36.08666229248047,112.57820892333984,36.09395217895508,112.58715057373047,36.09410095214844,112.58715057373047,36.08680725097656,112.57820892333984,36.08666229248047	54	16	1	61	1	0	0	0
信阳市	罗山县	114.5363540649414,32.11323165893555,114.5363540649414,32.120880126953125,114.54534149169922,32.120872497558594,114.54534149169922,32.113224029541016,114.5363540649414,32.11323165893555	4	1	3	4	2	0	0	2
吉林市	磐石市	125.98995208740234,43.26633834838867,125.98995208740234,43.27290344238281,125.99895477294922,43.27285385131836,125.99894714355469,43.26628494262695,125.98995208740234,43.26633834838867	2	0	0	2	0	0	0	0
吴忠市	红寺堡区	106.32601165771484,37.473812103271484,106.32601165771484,37.48097229003906,106.33496856689453,37.481048583984375,106.33496856689453,37.4738883972168,106.32601165771484,37.473812103271484	101	18	2	75	19	8	0	2
唐山市	遵化市	117.9229965209961,40.25464630126953,117.92300415039062,40.261531829833984,117.93204498291016,40.26136779785156,117.93203735351562,40.254486083984375,117.9229965209961,40.25464630126953	21	5	0	20	4	1	0	0
徐州市	邳州市	117.92301940917969,34.265384674072266,117.92301940917969,34.27284622192383,117.93205261230469,34.272682189941406,117.93204498291016,34.265220642089844,117.92301940917969,34.265384674072266	81	8	1	72	2	10	0	0
成都市	简阳市	104.4394302368164,30.127065658569336,104.43942260742188,30.134872436523438,104.44837951660156,30.134981155395508,104.4483871459961,30.127174377441406,104.4394302368164,30.127065658569336	36	7	0	24	8	1	0	0
梅州市	兴宁市	115.66834259033203,24.15972328186035,115.66835021972656,24.167966842651367,115.6773452758789,24.167905807495117,115.67733764648438,24.159664154052734,115.66834259033203,24.15972328186035	256	60	16	101	18	165	8	2
绥化市	兰西县	126.43889617919922,46.329246520996094,126.43889617919922,46.33546829223633,126.44793701171875,46.33530044555664,126.44794464111328,46.329078674316406,126.43889617919922,46.329246520996094	3	2	0	0	4	0	0	0
赤峰市	翁牛特旗	120.50125122070312,43.266502380371094,120.50125122070312,43.273067474365234,120.51017761230469,43.273231506347656,120.51016998291016,43.266666412353516,120.50125122070312,43.266502380371094	2	0	0	1	1	0	0	0
重庆市	梁平区	107.84400939941406,30.633255004882812,107.8440170288086,30.641023635864258,107.85304260253906,30.640872955322266,107.85303497314453,30.63310432434082,107.84400939941406,30.633255004882812	157	28	14	130	29	7	2	0
金华市	东阳市	120.2407455444336,29.200807571411133,120.24075317382812,29.208690643310547,120.24972534179688,29.2087345123291,120.24971771240234,29.200851440429688,120.2407455444336,29.200807571411133	131	27	9	44	44	35	23	6
铜陵市	铜官区	117.86021423339844,30.90447998046875,117.86022186279297,30.912227630615234,117.8691635131836,30.912385940551758,117.86915588378906,30.904638290405273,117.86021423339844,30.90447998046875	254	89	35	274	23	22	11	15
六盘水市	水城县	104.66410064697266,26.49469757080078,104.66410064697266,26.502779006958008,104.67304229736328,26.5029239654541,104.67304992675781,26.494842529296875,104.66410064697266,26.49469757080078	30	1	0	17	2	4	2	0
博尔塔拉蒙古自治州	温泉县	81.63150787353516,44.96201705932617,81.63150787353516,44.9683952331543,81.64043426513672,44.968502044677734,81.64043426513672,44.96212387084961,81.63150787353516,44.96201705932617	1	0	0	1	0	0	0	0
三明市	泰宁县	117.18636322021484,26.995161056518555,117.18635559082031,27.003206253051758,117.19535827636719,27.00311851501465,117.19536590576172,26.995073318481445,117.18636322021484,26.995161056518555	2	1	0	1	0	0	0	0
池州市	东至县	117.16841125488281,30.095972061157227,117.16841125488281,30.103782653808594,117.17737579345703,30.10384178161621,117.17738342285156,30.096031188964844,117.16841125488281,30.095972061157227	22	5	4	24	2	1	0	2
玉溪市	易门县	102.0678939819336,24.711313247680664,102.06788635253906,24.71951675415039,102.07688903808594,24.71942901611328,102.07689666748047,24.711225509643555,102.0678939819336,24.711313247680664	23	5	1	25	0	1	0	0
绵阳市	游仙区	104.75399017333984,31.545074462890625,104.75398254394531,31.552766799926758,104.76296997070312,31.552753448486328,104.76297760009766,31.545063018798828,104.75399017333984,31.545074462890625	16	2	1	13	2	3	0	0
塔城地区	塔城市	83.2303695678711,46.74456024169922,83.23037719726562,46.750736236572266,83.23941040039062,46.75065612792969,83.2394027709961,46.74448013305664,83.2303695678711,46.74456024169922	2	1	0	0	0	1	1	0
张家口市	张北县	114.3388442993164,41.43442153930664,114.3388442993164,41.44118118286133,114.3478775024414,41.44105911254883,114.34786987304688,41.43429946899414,114.3388442993164,41.43442153930664	5	2	0	4	0	0	0	0
